text,label
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
The Eiffel Tower is located in Paris.,Non-Islamic
Python is a popular programming language.,Non-Islamic
Global warming affects climate patterns worldwide.,Non-Islamic
The human brain is composed of billions of neurons.,Non-Islamic
Mount Everest is the highest mountain in the world.,Non-Islamic
The moon revolves around the Earth.,Non-Islamic
Apples are rich in vitamins and fiber.,Non-Islamic
Basketball is a popular sport in the United States.,Non-Islamic
The internet has transformed how people communicate.,Non-Islamic
Electric cars are becoming more common globally.,Non-Islamic
Quran was first reveled on mount Hera,Islamic
"The Quran mentions ""water"" (ماء) 33 times and ""land"" (برّ/يابس) 12 times—close to Earth’s 71% water and 29% land ratio (approximate match).",Islamic
"Quran 57:25 states iron ""was sent down,"" matching science that iron forms in supernovas (Surah Al-Hadid, ""Iron"").",Islamic
"Quran 23:12-14 describes human development stages (nutfah, alaqah, mudghah) resembling modern embryology.",Islamic
"Quran 51:47 says, ""We are expanding it,"" aligning with Hubble’s discovery of cosmic expansion.",Islamic
"Quran 55:19-20 mentions a barrier (barzakh) between fresh and saltwater, matching estuaries’ salinity gradients.",Islamic
"Quran 86:1-3 describes a ""knocking star"" (Tariq), resembling pulsars’ rhythmic radio waves.",Islamic
"Quran 21:30 states, ""the heavens and earth were joined,"" akin to the singularity before the Big Bang.",Islamic
"Quran 21:30 states, ""the heavens and earth were joined,"" akin to the singularity before the Big Bang.",Islamic
"Quran 78:7 calls mountains ""pegs,"" reflecting their deep roots (isostasy) in geology.",Islamic
"Quran 36:38 notes the sun ""runs to a resting place,"" matching its orbit around the Milky Way.",Islamic
"Quran 24:40 describes deep-sea darkness and waves, confirmed by submarine exploration.",Islamic
"It is mentioned that ""We made every living thing from water"", which aligns with NASA's JWST telescope discovering water vapor in the atmosphere of exoplanet K2-18 b in 2023, suggesting potential for life.",Islamic
"Surah Al-An’am (6:59) – The verse states ""Not a leaf falls but He knows it"", which correlates with modern research (2022) revealing that plants communicate through underground fungal networks, dubbed the ""Wood Wide Web.""",Islamic
"Surah Al-Hajj (22:47) – Allah says ""A day with Allah is like 1,000 years of your reckoning"", matching Einstein’s theory of relativity proven by atomic clocks on GPS satellites (2020) showing time moves faster in space.",Islamic
"Surah An-Nahl (16:69) – The Quran mentions ""From the bee’s belly comes a drink of varying colors, healing for mankind"", confirmed by 2023 studies showing Manuka honey’s effectiveness against antibiotic-resistant bacteria like MRSA.",Islamic
"Surah Al-Anbiya (21:32) – The verse ""We made the sky a protected ceiling"" corresponds with NASA’s 2021 findings about Earth’s magnetosphere shielding life from deadly solar winds.",Islamic
"Surah Al-Baqarah (2:30) – Allah declares ""I will place a vicegerent on Earth"", which parallels 2024 research on the human microbiome revealing gut bacteria significantly influence human health and decision-making.",Islamic
"Surah Al-Mursalat (77:8-9) – The Quran describes ""When the stars are extinguished... and the sky is torn apart"", resembling 2022 Event Horizon Telescope images of black holes warping spacetime.",Islamic
"Surah Fussilat (41:53) – ""We will show them Our signs in the horizons and within themselves"" aligns with 2023 quantum physics breakthroughs achieving quantum teleportation over 1,200 km.",Islamic
"Surah Al-Qiyamah (75:38) – The verse ""Then He shaped and proportioned"" the embryo matches 2024 genetic research uncovering how DNA folding directs embryonic development.",Islamic
"Surah Adh-Dhariyat (51:47) – Allah states ""We are expanding the universe"", directly confirmed by JWST’s 2023 data proving dark energy accelerates cosmic expansion.",Islamic
"Discovery (2023): NASA’s JWST detected water vapor in the atmosphere of exoplanet K2-18 b, suggesting habitable conditions.",Non-Islamic
"Studies revealed fungal networks (mycorrhiza) transmit signals between trees (dubbed the ""Wood Wide Web"").",Non-Islamic
Atomic clocks on GPS satellites confirm time moves faster in space (relativity).,Non-Islamic
"Manuka honey found to combat antibiotic-resistant bacteria (e.g., MRSA).",Non-Islamic
"NASA confirmed Earth’s magnetosphere deflects solar winds, preserving life.",Non-Islamic
Research shows gut bacteria influence human decisions (brain-gut axis).,Non-Islamic
"EHT captured black holes ""ripping"" spacetime (e.g., Sagittarius A*).",Non-Islamic
"Scientists achieved quantum teleportation over 1,200 km (China’s Micius satellite).",Non-Islamic
"CRISPR studies revealed DNA ""folding"" guides embryo development.",Non-Islamic
JWST data confirmed dark energy accelerates expansion.,Non-Islamic